cart_id,user_id,total_products,total_quantity,total_price,discounted_total
188,188,4,8,184.92,171.55
189,189,3,8,1289.92,1172.57
190,190,2,8,56079.92,53242.95
191,191,5,11,43489.89,36399.0
192,192,5,20,70627.3,67061.66
193,193,6,20,655.8,565.46
194,194,3,10,87090.9,83615.86
195,195,6,18,44661.82,37543.81
196,196,5,18,75209.82,70006.8
197,197,3,7,58063.93,55748.9
198,198,4,14,100565.86,92308.32
199,199,2,6,28239.94,26800.96
200,200,6,23,22694.77,21783.54
201,201,4,13,128096.37,109195.89
202,202,6,21,23114.79,20545.55
203,203,2,5,50.95,46.54
204,204,6,16,25591.84,23182.99
205,205,2,6,16011.94,14075.86
206,206,3,8,229.92,213.26
207,207,6,21,22719.79,20090.11
208,208,2,5,304.95,260.12
